A00;Χολέρα
Z46.8;Εφαρμογή και ρύθμιση άλλων καθορισμένων συσκευών
Z46.9;Εφαρμογή και ρύθμιση μη καθορισμένης συσκευής
Z47;Άλλη ορθοπεδική φροντίδα [follow-up] επακόλουθων καταστάσεων
Z47.0;Φροντίδα [follow-up] επακόλουθων καταστάσεων  που αφορά αφαίρεση πλάκας κατάγματος και άλλης συσκευής εσωτερικής οστεοσύνθεσης
Z47.8;Άλλη καθορισμένη ορθοπεδική φροντίδα [follow-up] επακόλουθων καταστάσεων
Z47.9;Ορθοπεδική φροντίδα [follow-up] επακόλουθων καταστάσεων, μη καθορισμένη
Z48;Άλλη χειρουργική φροντίδα [follow-up] επακόλουθων καταστάσεων 
Z48.0;Περιποίηση των χειρουργικών επιδέσεων και ραμμάτων 
Z48.8;Άλλη καθορισμένη χειρουργική φροντίδα [follow-up] επακόλουθων καταστάσεων
Z48.9;Άλλη χειρουργική φροντίδα [follow-up] επακόλουθων καταστάσεων, μη καθορισμένη 
Z49;Φροντίδα που αφορά εξωνεφρική κάθαρση
Z49.0;Προπαρασκευαστική φροντίδα για εξωνεφρική κάθαρση
Z49.1;Εξωσωματική εξωνεφρική κάθαρση
Z49.2;Άλλη εξωνεφρική κάθαρση
Z50;Φροντίδα που αφορά τη χρήση διαδικασιών αποκατάστασης
Z50.0;Καρδιακή αποκατάσταση
Z50.1;Άλλη φυσιοθεραπεία
Z50.2;Απεξάρτηση από τον αλκοολισμό
Z50.3;Απεξάρτηση από ναρκωτικά
Z50.4;Ψυχοθεραπεία, που δεν ταξινομείται αλλού
Z50.5;Λογοθεραπεία
Z50.6;Ορθοπτική εκπαίδευση
Z50.7;Εργοθεραπεία και επαγγελματική αποκατάσταση, που δεν ταξινομούνται αλλού
Z50.8;Φροντίδα που αφορά τη χρήση άλλων διαδικασιών αποκατάστασης 
Z50.9;Φροντίδα που αφορά τη χρήση διαδικασίας αποκατάστασης, μη καθορισμένη
Z51; Άλλη ιατρική φροντίδα
Z51.0;Συνεδρία ακτινοθεραπείας
Z51.1;Συνεδρία χημειοθεραπείας για νεόπλασμα
Z51.2;Άλλη χημειοθεραπεία
Z51.3;Μετάγγιση αίματος χωρίς αναφερόμενη διάγνωση
Z51.4;Προπαρασκευαστική φροντίδα για επικείμενη θεραπεία, που δεν ταξινομείται αλλού
Z51.5;Παρηγορητική φροντίδα
Z51.6;Απευαισθητοποίηση σε αλλεργιογόνα
Z51.8;Άλλη καθορισμένη ιατρική φροντίδα
Z51.9;Ιατρική φροντίδα, μη καθορισμένη
Z52;Δότες οργάνων και ιστών
Z52.0;Αιμοδότης
Z52.1;Δότης δέρματος
Z52.2;Δότης οστών
Z52.3;Δότης μυελού των οστών
Z52.4;Δότης νεφρού
Z52.5;Δότης κερατοειδούς
Z52.6;Δότης ήπατος
Z52.8;Δότης άλλων οργάνων και ιστών
Z52.9;Δότης μη καθορισμένου οργάνου ή ιστού
Z53;Άτομα που προσέρχονται στις υπηρεσίες υγείας για ειδικές ιατρικές πράξεις, που δε διενεργήθηκαν 
Z53.0;Ιατρική πράξη που δε διενεργήθηκε εξαιτίας αντένδειξης
Z53.1;Ιατρική πράξη που δε διενεργήθηκε εξαιτίας απόφασης του ασθενούς για λόγους πεποίθησης και πίεσης από ομάδα
Z53.2;Ιατρική πράξη που δε διενεργήθηκε εξαιτίας απόφασης του ασθενούς για άλλους και μη καθορισμένους λόγους 
Z53.8;Ιατρική πράξη που δε διενεργήθηκε για άλλους λόγους
Z53.9;Ιατρική πράξη που δε διενεργήθηκε, μη καθορισμένος λόγος
Z54;Ανάρρωση
Z54.0;Ανάρρωση μετά από χειρουργική επέμβαση
Z54.1;Ανάρρωση μετά από ακτινοθεραπεία
Z54.2;Ανάρρωση μετά από χημειοθεραπεία
Z54.3;Ανάρρωση μετά από ψυχοθεραπεία
Z54.4;Ανάρρωση μετά από θεραπεία κατάγματος
Z54.7;Ανάρρωση μετά από συνδυασμένη θεραπεία
Z54.8;Ανάρρωση μετά από άλλη θεραπεία
Z54.9;Ανάρρωση μετά από μη καθορισμένη θεραπεία
Z55;Προβλήματα που σχετίζονται με την εκπαίδευση  και τη μόρφωση  
Z55.0;Αναλφαβητισμός και χαμηλό επίπεδο μόρφωσης  
Z55.1;Σχολεία μη διαθέσιμα ή μη προσιτά
Z55.2;Αποτυχία στις εξετάσεις
Z55.3;Χαμηλές σχολικές επιδόσεις
Z55.4;Κακή προσαρμογή στο σχολικό περιβάλλον και αντιπαραθέσεις με δασκάλους και συμμαθητές
Z55.8;Άλλα προβλήματα που σχετίζονται με την εκπαίδευση και τη μόρφωση
Z55.9;Πρόβλημα που σχετίζεται με την εκπαίδευση και τη μόρφωση, μη καθορισμένο 
Z56;Προβλήματα που σχετίζονται με την απασχόληση και την ανεργία
Z56.0;Ανεργία, μη καθορισμένη
Z56.1;Αλλαγή εργασίας
Z56.2;Απειλή απώλειας της εργασίας
Z56.3;Στρεσσογόνο εργασιακό πρόγραμμα
Z56.4;Διενέξεις με τον προϊστάμενο και τους συναδέλφους 
Z56.5;Δυσάρεστη εργασία
Z56.6;Άλλη φυσική και ψυχική καταπόνηση που σχετίζεται με την εργασία
Z56.7;Άλλα και μη καθορισμένα προβλήματα που σχετίζονται με την εργασία
Z57;Επαγγελματική έκθεση σε παράγοντες κινδύνου
Z57.0;Επαγγελματική έκθεση σε θόρυβο
Z57.1;Επαγγελματική έκθεση σε ακτινοβολία
Z57.2;Επαγγελματική έκθεση σε σκόνη
Z57.3;Επαγγελματική έκθεση σε άλλους ατμοσφαιρικούς ρύπους
Z57.4;Επαγγελματική έκθεση σε τοξικούς παράγοντες στη γεωργία
Z57.5;Επαγγελματική έκθεση σε τοξικούς παράγοντες σε άλλες βιομηχανίες 
Z57.6;Επαγγελματική έκθεση σε ακραία θερμοκρασία
Z57.7;Επαγγελματική έκθεση σε δόνηση
Z57.8;Επαγγελματική έκθεση σε άλλους παράγοντες κινδύνου
Z57.9;Επαγγελματική έκθεση σε μη καθορισμένο παράγοντα κινδύνου
Z58;Προβλήματα που σχετίζονται με το φυσικό περιβάλλον 
Z58.0;Έκθεση σε θόρυβο
Z58.1;Έκθεση σε ατμοσφαιρική ρύπανση
Z58.2;Έκθεση σε ρύπανση των υδάτων
Z58.3;Έκθεση σε ρύπανση του εδάφους
Z58.4;Έκθεση σε ακτινοβολία
Z58.5;Έκθεση σε άλλες μορφές ρύπανσης
Z58.6;Ανεπαρκής παροχή πόσιμου ύδατος
Z58.7;Έκθεση σε καπνό τσιγάρου
Z58.8;Άλλα προβλήματα που σχετίζονται με το φυσικό περιβάλλον
Z58.9;Πρόβλημα που σχετίζεται με το φυσικό περιβάλλον, μη καθορισμένο
Z59;Προβλήματα που σχετίζονται με τη στέγαση και την οικονομική κατάσταση 
Z59.0;Έλλειψη στέγης
Z59.1;Ανεπαρκείς συνθήκες στέγασης
Z59.2;Διενέξεις με τους γείτονες, τους συγκατοίκους και τον ιδιοκτήτη
Z59.3;Προβλήματα που σχετίζονται με τη διαμονή σε ίδρυμα
Z59.4;Έλλειψη επαρκούς τροφής
Z59.5;Απορία
Z59.6;Χαμηλό εισόδημα
Z59.7;Ανεπαρκής κοινωνική ασφάλιση και προνοιακή στήριξη
Z59.8;Άλλα προβλήματα που σχετίζονται με τη στέγαση και την οικονομική κατάσταση
Z59.9;Πρόβλημα που σχετίζεται με τη στέγαση και την οικονομική κατάσταση, μη καθορισμένο
Z60;Προβλήματα που σχετίζονται με το κοινωνικό περιβάλλον
Z60.0;Προβλήματα προσαρμογής σε μεταβατικές περιόδους της ζωής
